 Time, durationA, durationB, comment,,,,,,
오후 4:25:52,224,154,,,,,,,
오후 4:25:52,224,154,,,,,,,
오후 4:25:52,224,154,,,,,,,
오후 4:25:52,223,149,,,,,,,
오후 4:25:52,190,155,,,,,,,
오후 4:25:52,190,155,,,,,,,
오후 4:25:52,190,155,,,,,,,
오후 4:25:52,212,148,,,,,,,
오후 4:25:52,223,149,,,,,,,
오후 4:25:52,223,149,,,,,,,
오후 4:25:52,223,149,,,,,,,
오후 4:25:52,147,136,,,,,,,
오후 4:25:52,147,136,,,,,,,
오후 4:25:52,147,136,,,,,,,
오후 4:25:52,127,117,,,,,,,
오후 4:25:52,127,117,,,,,,,
오후 4:25:52,111,107,,,,,,,
오후 4:25:52,111,107,,,,,,,
오후 4:25:52,108,104,,,,,,,
오후 4:25:52,108,104,,,,,,,
오후 4:25:52,106,103,,,,,,,
오후 4:25:52,106,103,,,,,,,
오후 4:25:52,103,100,,,,,,,
오후 4:25:52,103,100,,,,,,,
오후 4:25:52,102,100,,,,,,,
오후 4:25:52,102,100,,,,,,,
오후 4:25:52,100,98,,,,,,,
오후 4:25:52,100,98,,,,,,,
오후 4:25:52,98,98,,,,,,,
오후 4:25:52,98,98,,,,,,,
오후 4:25:53,96,93,,,,,,,
오후 4:25:53,96,93,,,,,,,
오후 4:25:53,96,96,,,,,,,
오후 4:25:53,96,96,,,,,,,
오후 4:25:53,91,92,,,,,,,
오후 4:25:53,91,92,,,,,,,
오후 4:25:53,90,91,,,,,,,
오후 4:25:53,90,91,,,,,,,
오후 4:25:53,90,95,,,,,,,
오후 4:25:53,90,95,,,,,,,
오후 4:25:53,91,97,,,,,,,
오후 4:25:53,91,97,,,,,,,
오후 4:25:53,92,95,,,,,,,
오후 4:25:53,92,95,,,,,,,
오후 4:25:53,93,101,,,,,,,
오후 4:25:53,93,101,,,,,,,
오후 4:25:53,97,102,,,,,,,
오후 4:25:53,97,102,,,,,,,
오후 4:25:53,98,105,,,,,,,
오후 4:25:53,98,105,,,,,,,
오후 4:25:53,100,106,,,,,,,
오후 4:25:53,100,106,,,,,,,
오후 4:25:53,106,111,,,,,,,
오후 4:25:53,106,111,,,,,,,
오후 4:25:53,109,118,,,,,,,
오후 4:25:53,109,118,,,,,,,
오후 4:25:53,117,168,,,,,,,
오후 4:25:53,117,168,,,,,,,
오후 4:25:53,123,135,,,,,,,
오후 4:25:53,123,135,,,,,,,
오후 4:25:53,131,173,,,,,,,
오후 4:25:53,131,173,,,,,,,
오후 4:25:53,129,173,,,,,,,
오후 4:25:53,129,173,,,,,,,
오후 4:25:53,134,176,,,,,,,
오후 4:25:53,134,176,,,,,,,
오후 4:25:53,141,182,,,,,,,
오후 4:25:53,141,182,,,,,,,
오후 4:25:53,174,183,,,,,,,
오후 4:25:53,174,183,,,,,,,
오후 4:25:54,178,199,,,,,,,
오후 4:25:54,178,199,,,,,,,
오후 4:25:54,183,223,,,,,,,
오후 4:25:54,183,223,,,,,,,
오후 4:25:54,,,OUT,,,,,,
오후 4:26:05,223,223,,,,,,,
오후 4:26:06,223,223,,,,,,,
오후 4:26:06,223,223,,,,,,,
오후 4:26:06,223,138,,,,,,,
오후 4:26:06,223,224,,,,,,,
오후 4:26:06,223,224,,,,,,,
오후 4:26:06,223,224,,,,,,,
오후 4:26:06,223,147,,,,,,,
