 Time, durationA, durationB, comment
16:29:00,223,223,
16:29:00,223,223,
16:29:00,223,223,
16:29:00,141,223,
16:29:00,223,223,
16:29:00,223,223,
16:29:00,223,223,
16:29:00,140,145,
16:29:00,141,223,
16:29:00,141,223,
16:29:00,141,223,
16:29:00,132,144,
16:29:00,132,144,
16:29:00,132,144,
16:29:00,128,133,
16:29:00,128,133,
16:29:00,122,126,
16:29:00,122,126,
16:29:00,118,120,
16:29:00,118,120,
16:29:00,116,120,
16:29:00,116,120,
16:29:00,114,119,
16:29:00,114,119,
16:29:00,112,114,
16:29:00,112,114,
16:29:00,112,113,
16:29:00,112,113,
16:29:00,112,112,
16:29:00,112,112,
16:29:00,112,113,
16:29:00,112,113,
16:29:00,146,113,
16:29:00,146,113,
16:29:00,112,111,
16:29:01,112,111,
16:29:01,113,112,
16:29:01,113,112,
16:29:01,114,112,
16:29:01,114,112,
16:29:01,120,114,
16:29:01,120,114,
16:29:01,119,117,
16:29:01,119,117,
16:29:01,121,118,
16:29:01,121,118,
16:29:01,124,119,
16:29:01,124,119,
16:29:01,122,118,
16:29:01,122,118,
16:29:01,126,122,
16:29:01,126,122,
16:29:01,129,121,
16:29:01,129,121,
16:29:01,133,127,
16:29:01,133,127,
16:29:01,133,130,
16:29:01,133,130,
16:29:01,149,134,
16:29:01,149,134,
16:29:01,141,136,
16:29:01,141,136,
16:29:01,155,135,
16:29:01,155,135,
16:29:01,144,139,
16:29:01,144,139,
16:29:01,224,143,
16:29:01,224,143,
16:29:01,159,177,
16:29:01,159,177,
16:29:01,164,223,
16:29:01,164,223,
16:29:01,151,152,
16:29:01,151,152,
16:29:01,,,IN
16:29:02,156,163,
16:29:02,156,163,
16:29:02,156,163,
16:29:02,140,151,
16:29:02,156,223,
16:29:02,156,223,
16:29:02,156,223,
16:29:02,135,154,
16:29:02,140,151,
16:29:02,140,151,
16:29:02,140,151,
16:29:02,131,137,
16:29:02,131,137,
16:29:02,131,137,
16:29:02,128,130,
16:29:02,128,130,
16:29:02,121,128,
16:29:02,121,128,
16:29:02,121,126,
16:29:02,121,126,
16:29:02,119,122,
16:29:02,119,122,
16:29:02,118,126,
16:29:02,118,126,
16:29:02,117,121,
16:29:02,117,121,
16:29:02,118,117,
16:29:02,118,117,
16:29:02,115,117,
16:29:02,115,117,
16:29:02,112,115,
16:29:02,112,115,
