 Time, durationA, durationB, comment,,,,,,
오후 4:48:23,153,163,,,,,,,
오후 4:48:23,153,163,,,,,,,
오후 4:48:23,153,163,,,,,,,
오후 4:48:23,148,159,,,,,,,
오후 4:48:23,150,222,,,,,,,
오후 4:48:23,150,222,,,,,,,
오후 4:48:23,150,222,,,,,,,
오후 4:48:23,149,222,,,,,,,
오후 4:48:23,148,159,,,,,,,
오후 4:48:23,148,159,,,,,,,
오후 4:48:23,148,159,,,,,,,
오후 4:48:23,144,149,,,,,,,
오후 4:48:23,144,149,,,,,,,
오후 4:48:23,144,149,,,,,,,
오후 4:48:23,139,145,,,,,,,
오후 4:48:23,139,145,,,,,,,
오후 4:48:23,134,139,,,,,,,
오후 4:48:23,134,139,,,,,,,
오후 4:48:23,130,135,,,,,,,
오후 4:48:23,130,135,,,,,,,
오후 4:48:23,129,130,,,,,,,
오후 4:48:23,129,130,,,,,,,
오후 4:48:23,124,129,,,,,,,
오후 4:48:23,124,129,,,,,,,
오후 4:48:24,121,129,,,,,,,
오후 4:48:24,121,129,,,,,,,
오후 4:48:24,117,132,,,,,,,
오후 4:48:24,117,132,,,,,,,
오후 4:48:24,122,130,,,,,,,
오후 4:48:24,122,130,,,,,,,
오후 4:48:24,114,127,,,,,,,
오후 4:48:24,114,127,,,,,,,
오후 4:48:24,121,126,,,,,,,
오후 4:48:24,121,126,,,,,,,
오후 4:48:24,114,113,,,,,,,
오후 4:48:24,114,113,,,,,,,
오후 4:48:24,112,121,,,,,,,
오후 4:48:24,112,121,,,,,,,
오후 4:48:24,116,112,,,,,,,
오후 4:48:24,116,112,,,,,,,
오후 4:48:24,111,120,,,,,,,
오후 4:48:24,111,120,,,,,,,
오후 4:48:24,112,121,,,,,,,
오후 4:48:24,112,121,,,,,,,
오후 4:48:24,122,120,,,,,,,
오후 4:48:24,122,120,,,,,,,
오후 4:48:24,112,120,,,,,,,
오후 4:48:24,112,120,,,,,,,
오후 4:48:24,113,121,,,,,,,
오후 4:48:24,113,121,,,,,,,
오후 4:48:24,112,121,,,,,,,
오후 4:48:24,112,121,,,,,,,
오후 4:48:24,113,123,,,,,,,
오후 4:48:24,113,123,,,,,,,
오후 4:48:24,113,111,,,,,,,
